id,nombre,apellido,nro_celular,email,password,rol,id_mercado_pago,saldo,fecha_alta
1,Waverley,Shyram,927-915-3610,wshyram0@patch.com,cA2|oMIkWP,ADMIN,1,3861.46,2022-11-21 02:50:45
2,Koressa,Crichmere,942-986-0342,kcrichmere1@dyndns.org,bI0(cqry,USER,2,4976.27,2023-06-21 19:31:20
3,Jeanne,Beddingham,607-721-6101,jbeddingham2@technorati.com,cJ8*X2@*w,MAINTAINER,3,4267.16,2023-10-22 21:32:54
4,Reine,Dashkovich,523-299-4671,rdashkovich3@ftc.gov,gW0_|ve\5v@z,ADMIN,4,2466.58,2023-09-11 06:16:15
5,Bessy,Kohrsen,976-271-9919,bkohrsen4@icq.com,"oO8""p#0C",MAINTAINER,5,3881.56,2023-07-10 06:06:06
6,Lauree,Szach,419-532-7056,lszach5@jiathis.com,rF3<HnOIp2Vk/bEm,USER,6,4822.15,2023-01-02 13:25:45
7,Fremont,Poulson,980-364-6029,fpoulson6@unicef.org,qH6?2*QiTK,USER,7,2338.2,2022-11-19 02:34:05
8,Rebecca,Axton,297-621-0283,raxton7@blogs.com,xM6+QQdpTg,ADMIN,8,912.45,2023-05-11 08:53:21
9,Phedra,Felgat,338-618-8531,pfelgat8@google.co.jp,"oP3#""lAL!",USER,9,3286.03,2023-06-22 03:24:31
10,Dedra,Hortop,740-318-3372,dhortop9@artisteer.com,fX6%~F%5zeU0x,USER,10,3721.45,2023-08-24 20:40:38
11,Andrea,Burley,217-882-8163,aburleya@google.cn,gY3!U>|5u+,ADMIN,11,2413.01,2022-11-17 17:07:26
12,Marni,Liepins,892-295-5200,mliepinsb@jimdo.com,kG3_m#~g|,MAINTAINER,12,3133.63,2023-02-21 10:47:05
13,Jerry,Kidston,922-943-5380,jkidstonc@geocities.jp,sH9@(J~},MAINTAINER,13,3437.78,2023-10-22 00:45:58
14,Finlay,Sate,380-843-0073,fsated@newyorker.com,sO9'9JhfF5,MAINTAINER,14,3219.83,2022-12-30 23:01:05
15,Kelley,Mallindine,876-354-0995,kmallindinee@omniture.com,rU4!I4)*t9R,ADMIN,15,3808.42,2023-04-15 11:48:09
16,Lorinda,Bortolussi,627-375-8511,lbortolussif@is.gd,fR2&/U'(!,MAINTAINER,16,3301.69,2023-04-14 15:45:36
17,Zitella,Bathoe,686-976-5596,zbathoeg@cyberchimps.com,sU2?P4&%Y,MAINTAINER,17,126.99,2023-10-05 11:03:43
18,Judon,Bulleyn,300-970-9774,jbulleynh@unicef.org,vH0*3zJNS,ADMIN,18,2207.7,2023-03-18 02:29:12
19,Bernadina,Neligan,938-130-7575,bneligani@bbb.org,qY6@WH$f,MAINTAINER,19,4125.93,2023-08-21 00:57:28
20,Marilee,Dumingos,814-964-4619,mdumingosj@yolasite.com,"uU9<fE""})",MAINTAINER,20,2984.9,2023-06-24 03:20:09
21,Lucine,Francke,441-479-7343,lfranckek@google.com.br,"fZ6!D$""!vw(ovUpy",ADMIN,21,4127.27,2022-11-29 05:04:30
22,Aggie,Massimo,716-551-9022,amassimol@wiley.com,"gK9""g<B%+",MAINTAINER,22,2319.64,2023-01-11 14:51:36
23,Berke,Berg,258-779-5982,bbergm@sourceforge.net,kP7/96x&nQ3,ADMIN,23,4863.68,2023-10-30 16:17:18
24,Iver,Carmichael,137-165-6843,icarmichaeln@berkeley.edu,"iC7,G7{n""vP8}",ADMIN,24,3173.52,2023-02-07 01:51:11
25,Deny,Bosson,399-249-3995,dbossono@cargocollective.com,hR2*5/us\Z@,MAINTAINER,25,2972.45,2023-07-23 19:07:13
26,Jackson,Clunie,290-477-4523,jcluniep@cdc.gov,"bD2{XsiH)0S*""",USER,26,4489.04,2023-01-25 20:24:50
27,Elvis,Bartul,676-639-5617,ebartulq@imgur.com,"cX8<l""eSA",ADMIN,27,4759.6,2023-02-27 10:12:30
28,Emmalee,Hurlestone,115-810-4167,ehurlestoner@sogou.com,"aM4""C8P1zEj",MAINTAINER,28,1174.73,2022-12-19 11:18:32
29,Teresina,Course,644-952-1074,tcourses@noaa.gov,iK0<tE<X,USER,29,1883.75,2023-09-23 11:49:08
30,Brandea,Facer,704-150-2436,bfacert@census.gov,jM4'5J_S#5KaofHB,ADMIN,30,1127.99,2023-02-04 06:31:14
